ccf_ap	ccf_dv	ccf_lr	allen_ontology
8914.4	4093.6	3020.9	DG
8933.9	4093.6	3046.3	DG
8909	4074.4	3004.9	DG
8928.5	4074.4	3030.3	DG
8923.1	4055.2	3014.3	DG
8942.6	4055.2	3039.6	DG
8917.7	4035.9	2998.2	DG
8937.2	4035.9	3023.6	DG
8931.8	4016.7	3007.6	DG
8951.3	4016.7	3033	DG
8926.4	3997.5	2991.6	DG
8940.5	3978.2	3000.9	DG
8959.9	3978.2	3026.3	DG
8935.1	3959	2984.9	DG
8954.6	3959	3010.3	DG
8949.2	3939.8	2994.2	DG
8968.6	3939.8	3019.6	DG
8943.8	3920.5	2978.2	DG
8963.2	3920.5	3003.6	DG
8957.9	3901.3	2987.6	DG
8977.3	3901.3	3012.9	DG
8952.5	3882.1	2971.5	DG
8971.9	3882.1	2996.9	DG
8966.5	3862.8	2980.9	DG
8986	3862.8	3006.3	DG
8961.1	3843.6	2964.9	DG
8980.6	3843.6	2990.2	DG
8975.2	3824.4	2974.2	DG
8994.7	3824.4	2999.6	DG
8969.8	3805.1	2958.2	DG
8989.3	3805.1	2983.6	DG
8983.9	3785.9	2967.5	DG
9003.4	3785.9	2992.9	DG
8978.5	3766.7	2951.5	DG
8998	3766.7	2976.9	DG
8992.6	3747.4	2960.9	DG
9012.1	3747.4	2986.2	DG
8987.2	3728.2	2944.8	DG
9006.7	3728.2	2970.2	DG
9001.3	3709	2954.2	DG
9020.8	3709	2979.6	DG
8995.9	3689.7	2938.2	DG
9015.4	3689.7	2963.5	DG
9010	3670.5	2947.5	DG
9029.5	3670.5	2972.9	DG
9004.6	3651.2	2931.5	DG
9024.1	3651.2	2956.9	DG
9038.2	3632	2966.2	DG
9013.3	3612.8	2924.8	DG
9032.8	3612.8	2950.2	DG
9027.4	3593.5	2934.2	DG
9046.9	3593.5	2959.5	DG
9022	3574.3	2918.1	DG
9041.5	3574.3	2943.5	DG
9036.1	3555.1	2927.5	DG
9055.6	3555.1	2952.9	DG
9030.7	3535.8	2911.5	DG
9050.2	3535.8	2936.8	root
9044.8	3516.6	2920.8	root
9064.3	3516.6	2946.2	root
9039.4	3497.4	2904.8	root
9058.9	3497.4	2930.2	root
9053.5	3478.1	2914.1	root
9073	3478.1	2939.5	root
9048.1	3458.9	2898.1	root
9067.6	3458.9	2923.5	root
9062.2	3439.7	2907.5	root
9081.7	3439.7	2932.8	root
9056.8	3420.4	2891.4	root
9076.3	3420.4	2916.8	root
9070.9	3401.2	2900.8	root
9090.4	3401.2	2926.2	root
9065.5	3382	2884.8	root
9085	3382	2910.1	root
9079.6	3362.7	2894.1	root
9099.1	3362.7	2919.5	root
9074.2	3343.5	2878.1	root
9093.7	3343.5	2903.5	root
9088.3	3324.3	2887.4	root
9107.7	3324.3	2912.8	root
9082.9	3305	2871.4	root
9102.4	3305	2896.8	root
9097	3285.8	2880.8	root
9116.4	3285.8	2906.1	root
9091.6	3266.6	2864.7	root
9105.6	3247.3	2874.1	root
9125.1	3247.3	2899.5	root
9100.3	3228.1	2858.1	root
9119.7	3228.1	2883.4	root
9114.3	3208.9	2867.4	root
9133.8	3208.9	2892.8	root
9108.9	3189.6	2851.4	root
9128.4	3189.6	2876.8	root
9123	3170.4	2860.7	root
9142.5	3170.4	2886.1	root
9117.6	3151.2	2844.7	root
9137.1	3151.2	2870.1	root
9131.7	3131.9	2854.1	root
9151.2	3131.9	2879.4	root
9126.3	3112.7	2838	root
9145.8	3112.7	2863.4	root
9140.4	3093.4	2847.4	root
9159.9	3093.4	2872.8	root
9135	3074.2	2831.4	root
9154.5	3074.2	2856.7	root
9149.1	3055	2840.7	root
9168.6	3055	2866.1	root
9143.7	3035.7	2824.7	root
9163.2	3035.7	2850.1	root
9157.8	3016.5	2834	root
9177.3	3016.5	2859.4	root
9152.4	2997.3	2818	root
9171.9	2997.3	2843.4	root
9166.5	2978	2827.4	root
9186	2978	2852.7	root
9161.1	2958.8	2811.3	root
9180.6	2958.8	2836.7	root
9175.2	2939.6	2820.7	root
9194.7	2939.6	2846.1	root
9169.8	2920.3	2804.7	root
9189.3	2920.3	2830	root
9203.4	2901.1	2839.4	root
9178.5	2881.9	2798	root
9198	2881.9	2823.4	root
9192.6	2862.6	2807.3	root
9212.1	2862.6	2832.7	root
9187.2	2843.4	2791.3	root
9206.7	2843.4	2816.7	SUB
9201.3	2824.2	2800.7	SUB
9220.8	2824.2	2826	SUB
9195.9	2804.9	2784.6	SUB
9215.4	2804.9	2810	SUB
9210	2785.7	2794	SUB
9229.5	2785.7	2819.4	SUB
9204.6	2766.5	2778	SUB
9224.1	2766.5	2803.3	SUB
9218.7	2747.2	2787.3	SUB
9238.2	2747.2	2812.7	SUB
9213.3	2728	2771.3	SUB
9232.8	2728	2796.7	SUB
9227.4	2708.8	2780.6	SUB
9246.9	2708.8	2806	SUB
9222	2689.5	2764.6	SUB
9241.5	2689.5	2790	SUB
9236.1	2670.3	2774	SUB
9255.5	2670.3	2799.3	SUB
9230.7	2651.1	2757.9	SUB
